# Typfallsmodellen reference results
# model: Version 4.8
# workbook: typfallsmodellen.xlsb
# publicavg: ok, all rule years 2019-2026 match the port
# exported: 2026-09-13 15:18:14
# referensar: 2025.
# marginal: 0.
# belopp12: 1.
# compareTo: 0.
# avkastning_val: 2.
# hyra: 6300.
# ansokt_bt: 1.
# cases: 299
# caseset: full
# start.Gift: 0
# adv.Variabelnamn: 0.   (row 2)
# adv.w_time: 67.   (row 4)
# adv.IPS_Monthly: 0.   (row 11)
# adv.IPS_start: 2026.   (row 12)
# adv.rng_Kapitalförsäkring: 0.   (row 13)
# adv.TJP_PAR: 66.   (row 14)
# adv.rng_Arvsvinster_TJP: 1.   (row 15)
# adv.Rgk: 0.01   (row 16)
# adv.rng_Temp_Tjp_Uttag: 0.   (row 17)
# adv.rng_Temp_IPS_Uttag: 0.   (row 18)
# adv.rng_Försäkringstid_vid_65: 40.   (row 21)
# adv.Rng_Ansokt: 1.   (row 29)
# adv.Hyra: 6300.   (row 30)
# adv.rng_Makens_inkomst: 0.   (row 31)
# adv.rng_Formogenhet: 0.   (row 32)
# adv.rng_Make_Bald: 1958.   (row 33)
# adv.rng_Kapital_pens: 0.   (row 34)
# adv.RNG_dela: 2.   (row 36)
# adv.rng_Kommunalskatt: 0.   (row 39)
# adv.rng_Begravningsavgift: 0.   (row 40)
# adv.rngPens_Inflation: 0.   (row 43)
# adv.rng_Syntetisk: 0.   (row 44)
# adv.rng_Since_Year_Nyckeltal: 0.   (row 45)
# adv.rng_FlexPens: 0.   (row 46)
# adv.marginal: 0.   (row 47)
# adv.rng_Senaste_Index_Framskrivning: 1.   (row 48)
# adv.rng_Förenklad_beräkning: 0.   (row 49)
# adv.wStartYear_AdvSettings: 1.   (row 50)
# adv.rng_Fondförsäkring: 1.   (row 51)
# adv.Rng_ddelat: 0.   (row 52)
# adv.rng_nypropp: 0.   (row 53)
# adv.rng_mftid: 0.   (row 54)
# adv.rng_tabell2_startAge: 56.   (row 55)
# adv.Visa_process: 1.   (row 58)
# adv.fack: 0.   (row 60)
# adv.akasseavg: 0.   (row 61)
# adv.satagare: 0.   (row 63)
# adv.w_ref: 2025.   (row 64)
# adv.Rng_belopp12: 1.   (row 66)
# adv.Alt_p_age: 0.   (row 67)
# adv.Rng_compareTo: 0.   (row 68)
# adv.Scenario: 0.   (row 69)
# adv.rng_Född_Barn1: 00:00:00   (row 73)
# adv.rng_Född_Barn2: 00:00:00   (row 74)
# adv.rng_Född_Barn3: 00:00:00   (row 75)
# adv.rng_Född_Barn4: 00:00:00   (row 76)
# adv.rng_def_ar: 0.   (row 81)
# adv.rngLönPartUttag: Arbetar deltid   (row 84)
# adv.rng_PBHYear: 0.   (row 87)
# adv.rng_PBH_IP: 0.   (row 88)
# adv.rng_PBH_PP: 0.   (row 89)
# adv.rng_PBH_tjp: 0.   (row 90)
# adv.rng_PBH_IPS: 0.   (row 91)
# adv.rng_Avkastning_val: 2.   (row 94)
# adv.Risk: 0.   (row 95)
# adv.rng_Avkastning_fondavgifter: 1.   (row 96)
# adv.Mortality: 0.   (row 100)
# adv.Average_Earning: 5.   (row 103)
# adv.rng_wyears: 40.   (row 106)
# adv.rng_Bara_fastapriser: 0.   (row 110)
# adv.rng_Sista_PensRatt: 0.   (row 111)
# adv.rng_alt_last_pratt: 0.   (row 114)
# adv.Tl_spec_y: 0.   (row 116)
# adv.TL_special: 1.   (row 117)
# adv.Rules: 0.   (row 119)
# adv.RulesFromUtg: 0.   (row 120)
# adv.RulesFromSkatt: 0.   (row 121)
# adv.Wealth: 0.   (row 125)
# adv.Resp_tjp: 1.   (row 128)
# adv.Rng_resp_rel: 0.   (row 129)
# adv.Rng_resp_max: 1.   (row 130)
# adv.Verbose: 1.   (row 132)
# adv.rng_discount: 0.05   (row 134)
# adv.Wage_profil: 0.   (row 141)
# adv.rngTurboMode: 0   (row 143)
# adv.rngDelnIPMort: 1958.   (row 144)
# adv.rngDelnPPMort: 1958.   (row 145)
# live.rng_def_ar: 0.
# live.rng_PBHYear: 0.
# live.rng_PBH_IP: 0.
# live.rng_PBH_PP: 0.
# live.rng_PBH_tjp: 0.
# live.rng_PBH_IPS: 0.
# live.rng_Bara_fastapriser: 1.
# live.rng_Sista_PensRatt: 1.
Födelseår,Börjar arbeta vid ålder,Går i pension vid ålder,Årslön,Årlig inflation,Real tillväxt,Real fondavkastning,Egen Lönelista,Privat pensionssparande (med avdragsrätt),Välj tjänstepension,Slutlön,Brutto-pension,Inkomstpension,Tilläggspension,Premiepension,Garanti-pension,P_tillägg,Tjänstepension,Eget sparande,Efter skatt,Bostadstillägg + ÄFS,Disponibel inkomst
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,4.,37380.5930012977,23438.6917968049,16970.0430204033,1179.1872793634,1708.1334290672,0.,0.,3581.328067971,0.,18539.8960041086,267.5992341291,18807.4952382377
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,5.,37380.5930012977,24071.4264345121,16970.0430204033,1179.1872793634,1708.1334290672,0.,0.,4214.0627056782,0.,18939.5233650452,13.7551008197,18953.2784658649
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,6.,37380.5930012977,28375.5225273739,16970.0430204033,1179.1872793634,1708.1334290672,0.,0.,8518.1587985401,0.,21750.8784030396,0.,21750.8784030396
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,7.,37380.5930012977,25473.1962544127,16970.0430204033,1179.1872793634,1708.1334290672,0.,0.,5615.8325255789,0.,19824.6432617324,0.,19824.6432617324
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,8.,37380.5930012977,37013.7258421588,16970.0430204033,1179.1872793634,1708.1334290672,0.,0.,17156.362113325,0.,27535.21091366,0.,27535.21091366
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,1.,37819.5557174558,20477.1876041915,18127.9787449393,0.,2349.2088592522,0.,0.,0.,0.,16613.4773061046,2352.9417123125,18966.4190184171
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,2.,37819.5557174558,33859.4658251965,18127.9787449393,0.,2349.2088592522,0.,0.,13382.278221005,0.,25927.7752143367,0.,25927.7752143367
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,3.,37819.5557174558,26225.7813169802,18127.9787449393,0.,2349.2088592522,0.,0.,5748.5937127888,0.,20613.2293601651,0.,20613.2293601651
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,4.,37819.5557174558,24848.3585377471,18127.9787449393,0.,2349.2088592522,0.,0.,4371.1709335556,0.,19653.8861236802,0.,19653.8861236802
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,5.,37819.5557174558,25525.2492260062,18127.9787449393,0.,2349.2088592522,0.,0.,5048.0616218147,0.,20128.4769141462,0.,20128.4769141462
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,6.,37819.5557174558,30289.6140152417,18127.9787449393,0.,2349.2088592522,0.,0.,9812.4264110503,0.,23443.3541220132,0.,23443.3541220132
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,7.,37819.5557174558,27032.0775779948,18127.9787449393,0.,2349.2088592522,0.,0.,6554.8899738033,0.,21173.5720806541,0.,21173.5720806541
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,8.,37819.5557174558,41554.1202667302,18127.9787449393,0.,2349.2088592522,0.,0.,21076.9326625387,0.,31212.147172938,0.,31212.147172938
1955.,23.,66.,462000.,0.,0.,0.017,0.,0.,1.,38351.3551136277,20869.9727653292,18254.2738424779,0.,2504.055712579,0.,111.6432102723,0.,0.,16920.6449488621,1931.630525365,18852.2754742271
1955.,23.,66.,462000.,0.,0.,0.017,0.,0.,2.,38351.3551136277,33627.7468846217,18254.2738424779,0.,2504.055712579,0.,111.6432102723,12757.7741192925,0.,26131.3112901503,0.,26131.3112901503
1955.,23.,66.,462000.,0.,0.,0.017,0.,0.,3.,38351.3551136277,26817.1050827044,18254.2738424779,0.,2504.055712579,0.,111.6432102723,5947.1323173752,0.,21205.8158405936,0.,21205.8158405936
1955.,23.,66.,462000.,0.,0.,0.017,0.,0.,4.,38351.3551136277,25431.1053740882,18254.2738424779,0.,2504.055712579,0.,111.6432102723,4561.132608759,0.,20203.2598123488,0.,20203.2598123488
1955.,23.,66.,462000.,0.,0.,0.017,0.,0.,5.,38351.3551136277,26122.8873024661,18254.2738424779,0.,2504.055712579,0.,111.6432102723,5252.9145371369,0.,20704.9438017813,0.,20704.9438017813
1955.,23.,66.,462000.,0.,0.,0.017,0.,0.,6.,38351.3551136277,30464.7932437814,18254.2738424779,0.,2504.055712579,0.,111.6432102723,9594.8204784522,0.,23844.9598376021,0.,23844.9598376021
1955.,23.,66.,462000.,0.,0.,0.017,0.,0.,7.,38351.3551136277,27644.0767893392,18254.2738424779,0.,2504.055712579,0.,111.6432102723,6774.10402401,0.,21803.9189661703,0.,21803.9189661703
1955.,23.,66.,462000.,0.,0.,0.017,0.,0.,8.,38351.3551136277,41478.4974309663,18254.2738424779,0.,2504.055712579,0.,111.6432102723,20608.5246656371,0.,31666.1756801383,0.,31666.1756801383
1960.,23.,66.,462000.,0.,0.,0.017,0.,0.,1.,37962.91308031,20536.,16838.,0.,3698.,0.,0.,0.,0.,14911.3333333333,0.,14911.3333333333
